Placename,Filename,longitude,latitude,State,mean_median_dist,median_median_dist,n_results,winnerPct,searchType,Trove_id,Status,Trove Title,Narrative Foreground/Background,url,Newspaper,Author,Start Date,End Date,Bushfire_Location
Atholton,10214_18_06_1913_5_XV_The House by Atholton._26877306.txt,,,None,,,0,,None,10214,Matching,Norah of Billabong,Narrative Background,https://trove.nla.gov.au/newspaper/article/26877306,"The West Australian (Perth, WA : 1879 - 1954)","Grant Bruce, Mary",14/5/13,12/7/13,
Tillty,9981_18_6_1910_6_VIII_SANDWICHES AND COMMERCIALS._98801338.txt,,,None,,,0,,None,9981,Matching,On an Australian Farm,Narrative Background,https://trove.nla.gov.au/newspaper/article/98801338,Goulburn Evening Penny Post (NSW : 1881 - 1940),"Rudd, Steele",9/4/10,23/7/10,
ID,9979_22_07_1910_3_XII_THE PLAY'S THE THING._80259915.txt,,,None,,,0,,None,9979,Matching,On an Australian Farm,Narrative Background,https://trove.nla.gov.au/newspaper/article/80259915,"The Northern Miner (Charters Towers, Qld. : 1874 - 1954)","Rudd, Steele",28/4/10,25/7/10,
Queensland,9432_16_08_1902_353_XII_The Heart of a Maid. Oat of the day and night A Joy has taken flight._21627113.txt,121.2023,-31.02926,WA,0,0,1,100,exact,9432,Matching,More about Misrule,Narrative Background,https://trove.nla.gov.au/newspaper/article/21627113,"The Queenslander (Brisbane, Qld. : 1866 - 1939)","Turner, Ethel",28/6/02,12/12/03,
Plymouth Rock,9426_8_06_1901_0_VI_Thirty Thousand a Year._21263190.txt,,,None,,,0,,None,9426,Matching,The Story of a Selection,Part of Speech,https://trove.nla.gov.au/newspaper/article/21263190,"The Queenslander (Brisbane, Qld. : 1866 - 1939)","Turner, Ethel",11/5/01,14/9/01,
Sydney,9426_15_06_1901_1141_VIII_AN ATHEIST_21263228.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,9426,Matching,The Story of a Selection,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/21263228,"The Queenslander (Brisbane, Qld. : 1866 - 1939)","Turner, Ethel",11/5/01,14/9/01,
Wilgandra,9426_10_08_1901_265_XVI_THE ROSERY_21265101.txt,,,None,,,0,,None,9426,Matching,The Story of a Selection,Narrative Background,https://trove.nla.gov.au/newspaper/article/21265101,"The Queenslander (Brisbane, Qld. : 1866 - 1939)","Turner, Ethel",11/5/01,14/9/01,
Western,9425_30_03_1901_606_III__21255247.txt,145.8961838,-27.62923673,Ambiguous,10.32702368,10.32702368,2,,exact,9425,Matching,Game by Chance,Narrative Background,https://trove.nla.gov.au/newspaper/article/21255247,"The Queenslander (Brisbane, Qld. : 1866 - 1939)","Creswell, Adelaide",23/3/01,6/4/01,
Hudson's Bay,9403_29_08_1914_44_XXV_THE BACK TRAIL._92036072.txt,,,None,,,0,,None,9403,Matching,The Intriguers,Part of Speech,https://trove.nla.gov.au/newspaper/article/92036072,"Leader (Melbourne, Vic. : 1862 - 1918)","Bindloss, Harold",2/5/14,3/10/14,
Queensland,9297_14_10_1899_764_VI.-(Continued.)__22561399.txt,121.2023,-31.02926,WA,0,0,1,100,exact,9297,Matching,Recollections of a Rambling Life. Pioneering in Queensland,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/22561399,"The Queenslander (Brisbane, Qld. : 1866 - 1939)","Archer, Thomas",1899-09-09,7/7/00,Near Darling Downs
Scotland,9287_26_01_1912_3_XXXII_REVULSION._15305030.txt,,,None,,,0,,None,9287,Matching,The Heart Auction,None,https://trove.nla.gov.au/newspaper/article/15305030,The Sydney Morning Herald (NSW : 1842 - 1954),"Davidson, Lillias Campbell",16/12/11,26/1/12,
London,8873_29_5_1909_6_XXXVI_Marjorie Unsatisfied._71968655.txt,-0.127758,51.5074,No best estimate,0,0,1,100,exact,8873,Matching,A Great Renunciation,None,https://trove.nla.gov.au/newspaper/article/71968655,"The Capricornian (Rockhampton, Qld. : 1875 - 1929)","Pickering, Edgar",20/2/09,5/6/09,
Coonara,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,145.502404,-34.435287,Ambiguous,4.787136933,3.722198553,8,,exact,8651,Matching,The Call of the Southern Cross,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/10395013,"The Mercury (Hobart, Tas. : 1860 - 1954)","Sandes, John",17/10/14,30/12/14,
Loamshire,8520_20_8_1874_4_I__128493728.txt,,,None,,,0,,None,8520,Matching,Gentleman Jack,Narrative Background,https://trove.nla.gov.au/newspaper/article/128493728,"Southern Argus (Port Elliot, SA : 1866 - 1954)",C. E. R.,1874-08-20,1874-09-24,"90 miles from the homestation (station Manooro, in the District of 'Wimmera, Victoria)"
Swiss,8499_31_12_1887_5_I__107816402.txt,,,None,,,0,,None,8499,Matching,Bill Bunkum's Cipher: A Tale of Two New Year Days,Narrative Background,https://trove.nla.gov.au/newspaper/article/107816402,"The Telegraph, St Kilda, Prahran and South Yarra Guardian (Vic. : 1866 - 1888)",W. N.,1887-12-31,1887-12-31,off Tasmanian coast
Providence,8476_17_11_1899_6_4_A LONG AND EVENTFUL JOURNEY._102216404.txt,146.8592933,-34.25092625,NSW,0.686901287,0.686901287,2,100,exact,8476,Matching,The Genii of the Vanguard,Narrative Background,https://trove.nla.gov.au/newspaper/article/102216404,Goulburn Herald (NSW : 1881 - 1907),"Lockwood, F. E.",1899-10-27,2/3/00,
,,,,,,,,,,,Non-matching,The Genii of the Vanguard,Narrative Background,https://trove.nla.gov.au/newspaper/article/102216673,Goulburn Herald (NSW : 1881 - 1907),"Lockwood, F. E.",1899-10-27,2/3/00,
TITTORA,8476_29_12_1899_6_12_A NEW VISITOR AT TITTORA._102216842.txt,,,None,,,0,,None,8476,Matching,The Genii of the Vanguard,Narrative Background,https://trove.nla.gov.au/newspaper/article/102216842,Goulburn Herald (NSW : 1881 - 1907),"Lockwood, F. E.",1899-10-27,2/3/00,
Mount Yatna,8476_24_11_1899_6_5_MOUNT YATNA : AN EDEN IN THE WILDERNESS._102218245.txt,,,None,,,0,,None,8476,Matching,The Genii of the Vanguard,Narrative Background,https://trove.nla.gov.au/newspaper/article/102218245,Goulburn Herald (NSW : 1881 - 1907),"Lockwood, F. E.",1899-10-27,2/3/00,
Kanga roo Island,8346_25_11_1893_18_PART I. I_THE SHIPWRECK._92801268.txt,152.3219444,-26.60152778,Ambiguous,8.770152702,5.632302656,15,,fuzzy,8346,Matching,Paving the Way: A Romance of the Australian Bush,Narrative Background,https://trove.nla.gov.au/newspaper/article/92801268,"South Australian Chronicle  (Adelaide, SA : 1889 - 1895)","Newland, Simpson",1893-11-25,1894-03-31,Coorong?
Cape Ford,8340_16_06_1894_5_VI_UNEXPLORED COUNTRY -Too Much WATER - BARTHELEMY Hills-The DINGO - ABORIGINES- CLIMATE -AFLOAT AGAIN-_92863391.txt,129.895,-13.44333333,NT,0,0,1,100,exact,8340,Matching,Voyage of the Forlorn Hope in 1865,Narrative Background,https://trove.nla.gov.au/newspaper/article/92863391,"South Australian Chronicle  (Adelaide, SA : 1889 - 1895)","Stow, J. P.",1894-05-12,1894-09-15,South Australia
Goulburn,8256_10_05_1890_7_X__88984222.txt,149.7344444,-34.74833333,NSW,1.441876439,0.0372678,10,70,exact,8256,Matching,The Rise of the Australian Wool Kings: A Romance of Port Philip,Narrative Background,https://trove.nla.gov.au/newspaper/article/88984222,Bendigo Advertiser (Vic. : 1855 - 1918),"Mouat, James",1890-03-15,1890-09-13,"Mt Alexander, Ravenswood"
Mount Macedon,8256_24_05_1890_3_XII.__88984815.txt,144.5843048,-37.39763889,VIC,0.012631697,0.016110801,3,100,exact,8256,Matching,The Rise of the Australian Wool Kings: A Romance of Port Philip,Narrative Background,https://trove.nla.gov.au/newspaper/article/88984815,Bendigo Advertiser (Vic. : 1855 - 1918),"Mouat, James",1890-03-15,1890-09-13,Macedon/Black Forest
Australia,8239_30_04_1898_34_XV_CAUGHT IN A NET._87773559.txt,137.13828,-28.61389,Ambiguous,0,0,2,,exact,8239,Matching,Bob: A Tale of Adventure in West Australia,Narrative Background,https://trove.nla.gov.au/newspaper/article/87773559,"Chronicle (Adelaide, SA : 1895 - 1954)",Timon,1898-03-26,1898-05-28,
Cedar Hill,8211_30_11_1895_35_XVII.-(Continued.)__87167994.txt,137.560663,-25.24933325,Ambiguous,13.84358934,13.84358934,2,,exact,8211,Matching,Mrs Tregaskiss: A Novel of Anglo-Australian Life,Narrative Background,https://trove.nla.gov.au/newspaper/article/87167994,"South Australian Chronicle  (Adelaide, SA : 1889 - 1895)","Praed, Mrs Campbell",1895-09-07,1896-02-08,
Gippsland,8142_1_02_1890_1_I__84689505.txt,146.966,-37.4032,Ambiguous,0,0,2,,exact,8142,Matching,"How Jack Litton Lost His Christmas Dinner, and How He Found It",Narrative Foreground,https://trove.nla.gov.au/newspaper/article/84689505,Bairnsdale Advertiser and Tambo and Omeo Chronicle (Vic. : 1882 - 1918),J. A. E.,1890-02-01,1890-02-22,"Myrtle Flat, Gippsland Hills"
India,8142_8_02_1890_1_II__84689581.txt,,,None,,,0,,None,8142,Matching,"How Jack Litton Lost His Christmas Dinner, and How He Found It",Narrative Foreground,https://trove.nla.gov.au/newspaper/article/84689581,Bairnsdale Advertiser and Tambo and Omeo Chronicle (Vic. : 1882 - 1918),J. A. E.,1890-02-01,1890-02-22,"Myrtle Flat, Gippsland Hills"
Ashton,8081_21_12_1892_69_III.__79319184.txt,149.1177778,-30.23166667,NSW,4.597554126,3.971036497,7,71.42857143,exact,8081,Matching,Taming an Outlaw,Narrative Background,https://trove.nla.gov.au/newspaper/article/79319184,"The North Queensland Register (Townsville, Qld. : 1892 - 1905)","Jackson, George",1892-12-21,1892-12-21,Ashton Vale 200 miles from coast
Oakey Creek,8081_21_12_1892_65_I_Taming an Outlaw. Written for the Christmas' Number of the %22North Qeensland Register.%22 | I. %22Alas! h_79319274.txt,150.8511111,-31.58166667,NSW,2.026673254,2.004872537,75,89.33333333,exact,8081,Matching,Taming an Outlaw,Narrative Background,https://trove.nla.gov.au/newspaper/article/79319274,"The North Queensland Register (Townsville, Qld. : 1892 - 1905)","Jackson, George",1892-12-21,1892-12-21,Ashton Vale 200 miles from coast
Port Phillip,7907_1_8_1911_4_XXIV_IN WHICH MARY HAWKER LOSES ONE OF HER OLDEST SWEETHEARTS._31380613.txt,144.8913889,-38.1072222,VIC,0,0,1,100,exact,7907,Matching,The Recollections of Geoffry Hamlyn,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/31380613,Queanbeyan Age,"Kingsley, Henry",12/7/10,24/12/12,
Florence,7894_20_3_1886_2_XXXI_CLEARING UP_103277914.txt,140.3833333,-21.1,QLD,0.089752747,0.089752747,3,66.66666667,exact,7894,Matching,The Mystery of Moor Farm,None,https://trove.nla.gov.au/newspaper/article/103277914,Goulburn Herald (NSW : 1881 - 1907),"Frith, Henry",1885-12-19,1886-04-03,?
Rexford,7827_2_11_1895_30_XVI_Hinton Interferes._71218075.txt,,,None,,,0,,None,7827,Matching,A Hero Out of Date,Part of Speech,https://trove.nla.gov.au/newspaper/article/71218075,"Australian Town and Country Journal (Sydney, NSW : 1870 - 1907)","Acworth, Andrew Oswald",1895-09-28,1895-11-16,
Dublin,7823_13_7_1895_34_XXIX__71216716.txt,135.1372635,-33.13616926,SA,3.470829059,3.470829059,4,50,exact,7823,Matching,Solved by Time. A Story of the Eureka Stockade,Part of Speech,https://trove.nla.gov.au/newspaper/article/71216716,"Australian Town and Country Journal (Sydney, NSW : 1870 - 1907)","Crozier, James",1895-02-09,1895-07-27,
Marsden,7768_7_01_1888_33_IV__71093017.txt,153.0969444,-27.67333333,QLD,2.314031494,0.00195231,8,62.5,exact,7768,Matching,An Australian Story,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/71093017,"Australian Town and Country Journal (Sydney, NSW : 1870 - 1907)",Unknown,1887-12-24,1888-01-14,five miles from Marsden Homestead
Waratah,7767_17_12_1887_28_I.__71092317.txt,149.6104476,-33.26847222,NSW,3.18308169,3.313129242,25,64,exact,7767,Matching,"Prince Cob o' Corn; or, The Mountain Fairies and the Queen of the Bunyips",Narrative Background,https://trove.nla.gov.au/newspaper/article/71092317,"Australian Town and Country Journal (Sydney, NSW : 1870 - 1907)","Lemon, Frank",1887-12-17,1887-12-17,Australia
Merino Station,7762_19_8_1887_7_I__108003452.txt,,,None,,,0,,None,7762,Matching,In the Golden Harvest,Narrative Background,https://trove.nla.gov.au/newspaper/article/108003452,"Evening News (Sydney, NSW : 1869 - 1931)",Gwyn Araun,1887-08-19,1887-08-19,Merino
Lylei,7761_13_08_1887_30_II.__71088142.txt,,,None,,,0,,None,7761,Matching,In the Golden Harvest,Narrative Background,https://trove.nla.gov.au/newspaper/article/71088142,"Australian Town and Country Journal (Sydney, NSW : 1870 - 1907)",Gwyn Araun,1887-08-13,1887-08-13,Merino
New York,7732_4_02_1882_31_XLIX_THE VICTORY WON._70965303.txt,,,None,,,0,,None,7732,Matching,Joan Carisbroke,None,https://trove.nla.gov.au/newspaper/article/70965303,"Australian Town and Country Journal (Sydney, NSW : 1870 - 1907)","Worboise, Emma Jane",1881-08-13,1882-02-11,None
Lawn,7727_14_12_1895_16_II__70859617.txt,,,None,,,0,,None,7727,Matching,Chris Conroy,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/70859617,"Worker (Brisbane, Qld. : 1890 - 1955)","Jackson, George",1895-12-14,1895-12-14,Queensland
Warbrook,7660_20_07_1878_31_XXI__70593241.txt,132.0207222,-33.87494333,Ambiguous,16.15830297,16.15830297,2,,exact,7660,Matching,An Australian Squire,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/70593241,"Australian Town and Country Journal (Sydney, NSW : 1870 - 1907)","Boldrewood, Rolf",1877-10-06,1879-02-01,Warbook
Australia,7660_17_08_1878_31_XXIII__70593954.txt,137.13828,-28.61389,Ambiguous,0,0,2,,exact,7660,Matching,An Australian Squire,Narrative Background,https://trove.nla.gov.au/newspaper/article/70593954,"Australian Town and Country Journal (Sydney, NSW : 1870 - 1907)","Boldrewood, Rolf",1877-10-06,1879-02-01,Mr Forbe's
Surrey,7660_15_06_1878_27_XVIII-CONTINUED__70613649.txt,142.25,-18.2,QLD,0,0,1,100,exact,7660,Matching,An Australian Squire,Part of Speech,https://trove.nla.gov.au/newspaper/article/70613649,"Australian Town and Country Journal (Sydney, NSW : 1870 - 1907)","Boldrewood, Rolf",1877-10-06,1879-02-01,
Melbourne,7618_18_07_1903_4_IX_FRIGID AND TORRID_70069226.txt,144.9752778,-37.82986111,VIC,0.012223011,0.012223011,5,40,exact,7618,Matching,The Far-Off Has-Been,Narrative Background,https://trove.nla.gov.au/newspaper/article/70069226,Sunbury News,"Batey, Isaac",24/1/03,13/8/04,
Australasia,7618_25_07_1903_4_IX_FRIGID AND TURRID. _70069260.txt,,,None,,,0,,None,7618,Matching,The Far-Off Has-Been,Duplicate,https://trove.nla.gov.au/newspaper/article/70069260,Sunbury News,"Batey, Isaac",24/1/03,13/8/04,
Melbourne,7618_15_08_1903_4_XI_ON THE RIVER PLENTY_70069326.txt,144.9752778,-37.82986111,VIC,0.012223011,0.012223011,5,40,exact,7618,Matching,The Far-Off Has-Been,Narrative Background,https://trove.nla.gov.au/newspaper/article/70069326,Sunbury News,"Batey, Isaac",24/1/03,13/8/04,
Murrumbidgee,7618_12_9_1903_4_XI_ON THE RIVER PLENTY. _70069415.txt,,,None,,,0,,None,7618,Matching,The Far-Off Has-Been,Narrative Background,https://trove.nla.gov.au/newspaper/article/70069415,Sunbury News,"Batey, Isaac",24/1/03,13/8/04,
Ircing,7618_20_02_1904_4_XVI_MORE ABOUT MR. BRODIE. _70069844.txt,,,None,,,0,,None,7618,Matching,The Far-Off Has-Been,Narrative Background,https://trove.nla.gov.au/newspaper/article/70069844,Sunbury News,"Batey, Isaac",24/1/03,13/8/04,
New South,7433_22_12_1899_11_I__66368100.txt,,,None,,,0,,None,7433,Matching,Jack Anderson's Intention,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/66368100,"Hawkesbury Advocate (Windsor, NSW : 1899 - 1900)","Moreland, Marion",1899-12-22,1899-12-22,
Mnd Onpn,"7092_5_10_1904_4_X_THE MURDER OF KENNEDY, THE EMPLOYER._102739678.txt",,,None,,,0,,None,7092,Matching,The Story of the Blacks: The Aborigines of Australia,None,https://trove.nla.gov.au/newspaper/article/102739678,The Kiama Reporter and Illawarra Journal (NSW : 1899 - 1947),"White, Charles",6/4/04,5/10/04,
Sydney,7042_2_08_1884_0_XI_A FOOL'S PARADISE._64035582.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,7042,Matching,Retribution 1,Narrative Background,https://trove.nla.gov.au/newspaper/article/64035582,Illustrated Sydney News (NSW: 1881-1894),Silverleaf,1884-06-07,1885-06-06,
polish,6966_17_01_1891_25_VIII__63612052.txt,,,None,,,0,,None,6966,Matching,The Story of a Royal Pendulum,Narrative Background,https://trove.nla.gov.au/newspaper/article/63612052,Illustrated Sydney News (NSW: 1881-1894),Australie [pseud],1890-11-22,1891-03-28,unclear
Ventnor,6966_28_02_1891_4_XV__63612209.txt,148.2478464,-31.683125,Ambiguous,7.445404952,7.444775709,4,,exact,6966,Matching,The Story of a Royal Pendulum,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/63612209,Illustrated Sydney News (NSW: 1881-1894),Australie [pseud],1890-11-22,1891-03-28,unclear
England,6966_28_3_1891_25_XVI__63612367.txt,152.4666667,-27.43333333,QLD,0,0,1,100,exact,6966,Matching,The Story of a Royal Pendulum,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/63612367,Illustrated Sydney News (NSW: 1881-1894),Australie [pseud],1890-11-22,1891-03-28,unclear
,,,,,,,,,,,Non-matching,The Story of a Royal Pendulum,Narrative Background,https://trove.nla.gov.au/newspaper/article/63616110,Illustrated Sydney News (NSW: 1881-1894),Australie [pseud],1890-11-22,1891-03-28,unclear
Geneva,6966_28_02_1891_4_XIV__63616255.txt,152.9811111,-28.6175,NSW,0.010034662,0,3,100,exact,6966,Matching,The Story of a Royal Pendulum,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/63616255,Illustrated Sydney News (NSW: 1881-1894),Australie [pseud],1890-11-22,1891-03-28,unclear
England,6966_28_3_1891_25_XVI__63616406.txt,152.4666667,-27.43333333,QLD,0,0,1,100,exact,6966,Matching,The Story of a Royal Pendulum,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/63616406,Illustrated Sydney News (NSW: 1881-1894),Australie [pseud],1890-11-22,1891-03-28,unclear
,,,,,,,,,,,Non-matching,"Carmeline; Or, The Convict's Bride. A Romance of England and Australia. Founded on Fact",Narrative Background,https://trove.nla.gov.au/newspaper/article/82608753,Singleton Argus (NSW : 1880 - 1954),"Durivage, Francis A.",1886-08-28,1886-09-18,
,,,,,,,,,,,Non-matching,"Carmeline; Or, The Convict's Bride. A Romance of England and Australia. Founded on Fact",Narrative Background,https://trove.nla.gov.au/newspaper/article/77548549,"Border Watch (Mount Gambier, SA : 1861 - 1954)","Durivage, Francis A.",1886-09-11,1886-10-09,
,,,,,,,,,,,Non-matching,"Carmeline; Or, The Convict's Bride. A Romance of England and Australia. Founded on Fact",Narrative Background,https://trove.nla.gov.au/newspaper/article/62273844,Gippsland Times (Vic. : 1861 - 1954),"Durivage, Francis A.",1886-09-06,1886-09-06,Between melbourne and Ballarat
Gardens,6709_3_09_1887_0_II.__73768525.txt,,,None,,,0,,None,6709,Matching,Round the Country,Narrative Background,https://trove.nla.gov.au/newspaper/article/73768525,"Independent (Footscray, Vic. : 1883 - 1922)","Barr, J. M.",1887-08-27,1888-05-19,"Fiery Creek , Victoria"
Christendom,6709_24_09_1887_0_VI.__73768613.txt,,,None,,,0,,None,6709,Matching,Round the Country,Narrative Background,https://trove.nla.gov.au/newspaper/article/73768613,"Independent (Footscray, Vic. : 1883 - 1922)","Barr, J. M.",1887-08-27,1888-05-19,Mount Cole
Sydney,6708_1_03_1884_0_V.__73245537.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,6708,Matching,Lost and Won: A Story of a Sister's Love,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/73245537,"Independent (Footscray, Vic. : 1883 - 1922)","Barr, J. M.",1884-02-02,1884-06-21,Billabong Plain
Pa,6708_15_03_1884_0_VII.__73245616.txt,,,None,,,0,,None,6708,Matching,Lost and Won: A Story of a Sister's Love,Narrative Background,https://trove.nla.gov.au/newspaper/article/73245616,"Independent (Footscray, Vic. : 1883 - 1922)","Barr, J. M.",1884-02-02,1884-06-21,Billabong Plain
Australia,6707_26_12_1891_3_I_THE PROSPECTORS' CAMP._73244092.txt,137.13828,-28.61389,Ambiguous,0,0,2,,exact,6707,Matching,The False and the True,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/73244092,"Independent (Footscray, Vic. : 1883 - 1922)","Barr, J. M.",1891-12-26,1891-12-26,NE Victoria near Beechworth
Williamstown,6692_27_11_1886_33_I__71070193.txt,141.8903039,-36.35775167,Ambiguous,3.706956091,3.40694793,9,,exact,6692,Matching,Bridget's Locket,Narrative Background,https://trove.nla.gov.au/newspaper/article/71070193,"Australian Town and Country Journal (Sydney, NSW : 1870 - 1907)","Fortune, Mary Helena",1886-11-27,1886-12-25,bush road out of Melbourne
Boban Creek,6678_28_11_1884_1_I_RESIGNATION_70805343.txt,152.2261111,-30.04833333,NSW,0,0,1,100,exact,6678,Matching,Dan Lyons' Doom,Narrative Background,https://trove.nla.gov.au/newspaper/article/70805343,"The North Eastern Ensign (Benalla, Vic. : 1872 - 1938)","Fortune, Mary Helena",1884-11-28,1885-01-30,Marranga
Denisher,6634_16_10_1865_11_XII_BIRDS OF A FEATHER_63512629.txt,,,None,,,0,,None,6634,Matching,Woonoona: An Australian Story,Narrative Background,https://trove.nla.gov.au/newspaper/article/63512629,Illustrated Sydney News (NSW : 1853 - 1872),"Wilson, Frederick Sydney",1865-04-15,1865-12-16,NSW Bush
England,6539_1_09_1891_11_III__60444374.txt,152.4666667,-27.43333333,QLD,0,0,1,100,exact,6539,Matching,Only the Acquaintance,Narrative Background,https://trove.nla.gov.au/newspaper/article/60444374,Illustrated Australian News,H. F. T. G.,1891-09-01,1891-09-01,
Bennington,6488_27_12_1897_7_XXII__108875843.txt,145.6190758,-34.434967,NSW,2.709565438,2.709565438,2,100,fuzzy,6488,Matching,Sir Tristram,Part of Speech,https://trove.nla.gov.au/newspaper/article/108875843,"Evening News (Sydney, NSW : 1869 - 1931)","Whiting, Mary Bradford",1897-11-15,1897-12-30,
IL,6468_8_11_1895_1_II__59343329.txt,,,None,,,0,,None,6468,Matching,A Romance of the Law,None,https://trove.nla.gov.au/newspaper/article/59343329,"Traralgon Record (Traralgon, Vic. : 1886 - 1932)","Blanchard, Sidney Laman",1895-11-08,1895-11-15,None
Liverpool,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,150.9177778,-33.92305556,NSW,0.007659749,0.008611111,4,75,exact,6244,Matching,The Outlaw,Narrative Background,https://trove.nla.gov.au/newspaper/article/88822252,"Chronicle (Adelaide, SA : 1895 - 1954)","Hennessey, J. D.",19/4/13,2/8/13,
Salathiel.,6244_28_6_1913_50_XXVIII_A LETTER FOR BETSY._88826186.txt,,,None,,,0,,None,6244,Matching,The Outlaw,None,https://trove.nla.gov.au/newspaper/article/88826186,"Chronicle (Adelaide, SA : 1895 - 1954)","Hennessey, J. D.",19/4/13,2/8/13,
Australia,6164_5_2_1898_4_XXII_THE REv. CHRISTOPHER BROADFACE SEES A GHOST. Constinued._130525344.txt,137.13828,-28.61389,Ambiguous,0,0,2,,exact,6164,Matching,The Sea Cliff Towers Mystery,None,https://trove.nla.gov.au/newspaper/article/130525344,The Murrurundi Times and Liverpool Plains Gazette (NSW : 1874 - 1907; 1926 - 1929),"Hennessey, J. D.",1898-01-01,1898-04-23,
Western Plains Station,6072_20_5_1896_4_XVII_A MYSTERIOUS TRACK._133806905.txt,,,None,,,0,,None,6072,Matching,An Australian Bush Track,Narrative Background,https://trove.nla.gov.au/newspaper/article/133806905,"Western Grazier (Wilcannia, NSW : 1896 - 1951)","Hennessey, J. D.",1896-01-18,1896-07-15,
Australia,6071_24_06_1896_4_XXV_A MOUNTAIN STORM._63933449.txt,137.13828,-28.61389,Ambiguous,0,0,2,,exact,6071,Matching,An Australian Bush Track,None,https://trove.nla.gov.au/newspaper/article/63933449,Bathurst Free Press and Mining Journal (NSW : 1851 - 1904),"Hennessey, J. D.",1896-04-20,1896-07-01,None
Stoneham,6071_1_05_1896_4_V_STONEHM'S GADFLY._63934819.txt,,,None,,,0,,None,6071,Matching,An Australian Bush Track,Narrative Background,https://trove.nla.gov.au/newspaper/article/63934819,Bathurst Free Press and Mining Journal (NSW : 1851 - 1904),"Hennessey, J. D.",1896-04-20,1896-07-01,
Western Plains,6071_3_06_1896_4_XVII_A MYSTERIOUS TRACK._63937428.txt,142.0205979,-36.96617516,Ambiguous,6.604015274,6.604015274,2,,exact,6071,Matching,An Australian Bush Track,Narrative Background,https://trove.nla.gov.au/newspaper/article/63937428,Bathurst Free Press and Mining Journal (NSW : 1851 - 1904),"Hennessey, J. D.",1896-04-20,1896-07-01,
Manilla,6061_24_02_1898_4_VIII.-CONTINUED.__62373495.txt,149.5261111,-30.74833333,NSW,2.326461167,1.338966804,9,88.88888889,exact,6061,Matching,John Horton's Ward,None,https://trove.nla.gov.au/newspaper/article/62373495,Gippsland Times (Vic. : 1861 - 1954),"Bunster, Grosvenor",1898-02-03,1898-03-03,
,,,,,,,,,,,Non-matching,Recollections of a Septuagenarian,Narrative Background,https://trove.nla.gov.au/newspaper/article/42994936,"South Australian Register (Adelaide, SA : 1839 - 1900)","Hailes, Nathaniel",1876-12-22,1878-07-10,Black Thursday
Hobart,5814_13_03_1899_2_III__39797313.txt,147.3200073,-42.88000107,TAS,0.053560692,0.036720958,4,75,exact,5814,Matching,An Old Time Story,Part of Speech,https://trove.nla.gov.au/newspaper/article/39797313,Launceston Examiner (Tas. : 1842 - 1899),L.,1899-03-10,1899-03-13,
Port Denison,5657_6_5_1905_82_XVI__33519511.txt,114.92475,-29.281405,WA,0.008164283,0.008164283,3,66.66666667,exact,5657,Matching,Tom Gerrard,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/33519511,"Western Mail (Perth, WA : 1885 - 1954)","Becke, Louis",18/3/05,1/7/05,
Somerset,5657_13_05_1905_72_XIX__33520931.txt,148.409538,-32.4915885,NSW,2.777186209,3.160793061,21,61.9047619,exact,5657,Matching,Tom Gerrard,Narrative Background,https://trove.nla.gov.au/newspaper/article/33520931,"Western Mail (Perth, WA : 1885 - 1954)","Becke, Louis",18/3/05,1/7/05,
Devonshire,5645_22_12_1900_4_III__31086993.txt,148.6803213,-32.7889585,NSW,3.213107388,3.213107388,2,100,exact,5645,Matching,Full Compensation: A Tale of Two Hemispheres,Narrative Background,https://trove.nla.gov.au/newspaper/article/31086993,Queanbeyan Age (NSW : 1867 - 1904),"Gray, Captain East",22/12/00,22/12/00,
Sanelling,5622_17_12_1887_26_I_THROUGH THE FIRE._71092307.txt,,,None,,,0,,None,5622,Matching,Through Fire and Water,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/71092307,"Australian Town and Country Journal (Sydney, NSW : 1870 - 1907)",Wilga,1887-12-17,1887-12-17,inland NSW
